open,high,low,close,volume,marketCap,timestamp
391,5756.2560111917,5785.914138323,5555.4166302352,5616.6477223048,3483885634.344671,96706317153.0996,2018-08-18
392,5500.1208563536,5674.8786407767,5501.0706268347,5662.8076256499,2957683011.0497236,97183560437.67265,2018-08-23
393,5898.8871768533,6080.1847259044,5896.4530500343,6068.8275036347,3988991611.0255094,104707409464.13286,2018-08-28
394,6198.4481420812,6299.0861281145,6148.9438744719,6271.7488789238,3732683852.056212,108136718705.92293,2018-09-02
395,5619.1754884241,5642.8423861582,5499.8452411658,5598.7100683923,3670436354.2473536,96041332805.7492,2018-09-07
396,5448.9864573449,5472.8844169247,5404.2008108341,5464.8541684591,3505762097.8176484,94592876129.56094,2018-09-12
397,5621.4998280014,5628.0787753698,5555.6415548676,5607.1410135077,2815385276.9177847,96802861389.74889,2018-09-16
398,5533.8289015377,5780.9325278652,5515.2050258935,5732.3602008682,5549180188.599099,98874410017.84045,2018-09-21
399,5487.5329534824,5602.1691051378,5437.6083630801,5530.0127713921,3773535164.554809,95501603984.18233,2018-09-26
400,5704.3084877208,5739.0666781679,5646.2453659798,5691.9927442343,3447626023.265834,98233387430.41792,2018-10-01
401,5747.6566568304,5752.9421975352,5708.9047040444,5718.0263843083,2829144245.7906613,98970316721.92328,2018-10-06
402,5711.7065556712,5709.2311692814,5387.1786022433,5397.9637618637,4493270898.369754,93948641032.77835,2018-10-11
403,5700.20723599,5764.0266021765,5672.7986878453,5699.0755140833,3518521716.6047835,98682071627.666,2018-10-16
404,5637.1840528099,5694.7624424564,5624.9457135412,5632.418107568,2826031442.7169285,97601933787.02336,2018-10-21
405,5687.5406664908,5712.2802390999,5667.4956063269,5679.1070958688,2906928690.758815,98737660264.66191,2018-10-26
406,5586.6966411002,5598.9065255732,5569.4586492682,5583.8872193742,3695001322.401481,96647374791.50137,2018-10-31
407,5582.5490252652,5689.9712617225,5583.834869282,5626.5944016672,3662384880.0961027,97776071198.56601,2018-11-05
408,5632.7516906738,5678.3248155974,5632.0284269152,5653.5730890412,3268199597.328491,98192885712.38258,2018-11-10
409,5070.337997414,5103.9821748368,4742.3699843874,4987.6679374237,6215898580.953175,86758857448.0773,2018-11-15
410,4246.6779750261,4325.117669164,3758.2606593961,3914.9342425054,7358706541.856706,67578544542.46871,2018-11-20
411,3422.3626936993,3633.4453671336,3160.7323005552,3537.5312650724,6019360978.108001,61510130744.52579,2018-11-25
412,3765.4898532019,3794.4406524227,3460.9067133567,3549.2968545501,5309692980.111471,61370888682.74843,2018-11-30
413,3489.9319735337,3500.6264905519,3308.4256726676,3308.4256726676,4674360211.286008,57610970324.94518,2018-12-05
414,3166.9339180159,3196.6389897791,3056.4650332303,3084.0921069315,4402234762.206739,53486868103.925255,2018-12-10
415,2868.6378289802,2896.3871339803,2822.0410177643,2862.2391918364,3140792551.456627,49874623820.599075,2018-12-15
416,3286.335934895,3666.7760671307,3275.5201330838,3608.39144213,7839662098.790637,63297960427.45165,2018-12-20
417,3579.0841282369,3586.5496069208,3297.5378839945,3342.6215964424,5400778587.384148,58369973871.850006,2018-12-25
418,3437.1905331996,3464.5194226271,3339.2243882595,3339.2243882595,4362951863.019671,58274808334.14939,2018-12-29
419,3472.5271941772,3471.3254492988,3355.276054874,3368.3557752281,4001806385.4994364,59180566333.70592,2019-01-03
420,3509.3027334248,3591.9459633413,3491.7041392714,3518.6078355926,4622706092.876676,61347012740.028015,2019-01-08
421,3190.0756394919,3203.931363561,3093.799789148,3100.2215759054,4081510587.383137,54149071269.70851,2019-01-13
422,3228.3856589341,3233.2304666711,3198.4307274613,3217.8013509871,4391389679.419104,56151049879.45163,2019-01-18
423,3172.958684829,3190.3394090453,3131.8645449541,3148.8458552916,4781808212.172209,55204789814.91414,2019-01-23
424,3140.6529534239,3142.0009428575,3008.6410365269,3036.3596475068,6053805248.59727,53236668849.64476,2019-01-28
